id_trab,tipo,01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01
FIJ001,fijo,LIBRE,VADN012,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VADN012,VADN012,VADN012,VADN012,LIBRE,LIBRE,VADN012,VADN012,VADN012,VADN012,LIBRE,LIBRE
FIJ002,fijo,LIBRE,VADN013,LIBRE,LIBRE,VADN013,LIBRE,VADN013,VADN013,VADN013,LIBRE,LIBRE,VADN013,VADN013,VADN013,VADN013,VADN013,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
FIJ003,fijo,LIBRE,VADN014,LIBRE,LIBRE,VADN014,LIBRE,VADN014,VADN014,VADN014,LIBRE,LIBRE,VADN014,VADN014,VADN014,VADN014,VADN014,LIBRE,LIBRE,VADN014,VADN014,VADN014,VADN014,VADN014,LIBRE,LIBRE,VADN014,VADN014,VADN014,VADN014,LIBRE,LIBRE
FIJ004,fijo,LIBRE,VADN015,LIBRE,LIBRE,VADN015,LIBRE,VADN015,VADN015,VADN015,LIBRE,LIBRE,VADN015,VADN015,VADN015,VADN015,VADN015,LIBRE,LIBRE,VADN015,VADN015,VADN015,VADN015,VADN015,LIBRE,LIBRE,VADN015,VADN015,VADN015,VADN015,LIBRE,LIBRE
FIJ005,fijo,LIBRE,VADN016,LIBRE,LIBRE,VADN016,LIBRE,VADN016,VADN016,VADN016,LIBRE,LIBRE,VADN016,VADN016,VADN016,VADN016,VADN016,LIBRE,LIBRE,VADN016,VADN016,VADN016,VADN016,VADN016,LIBRE,LIBRE,VADN016,VADN016,VADN016,VADN016,LIBRE,LIBRE
FIJ006,fijo,LIBRE,VADN017,LIBRE,LIBRE,VADN017,LIBRE,VADN017,VADN017,VADN017,LIBRE,LIBRE,VADN017,VADN017,VADN017,VADN017,VADN017,LIBRE,LIBRE,VADN017,VADN017,VADN017,VADN017,VADN017,LIBRE,LIBRE,VADN017,VADN017,VADN017,VADN017,LIBRE,LIBRE
FIJ007,fijo,LIBRE,VADN018,LIBRE,LIBRE,VADN018,LIBRE,VADN018,VADN018,VADN018,LIBRE,LIBRE,VADN018,VADN018,VADN018,VADN018,VADN018,LIBRE,LIBRE,VADN018,VADN018,VADN018,VADN018,VADN018,LIBRE,LIBRE,VADN018,VADN018,VADN018,VADN018,LIBRE,LIBRE
FIJ008,fijo,LIBRE,VADN019,LIBRE,LIBRE,VADN019,LIBRE,VADN019,VADN019,VADN019,LIBRE,LIBRE,VADN019,VADN019,VADN019,VADN019,VADN019,LIBRE,LIBRE,VADN019,VADN019,VADN019,VADN019,VADN019,LIBRE,LIBRE,VADN019,VADN019,VADN019,VADN019,LIBRE,LIBRE
FIJ009,fijo,LIBRE,VADN020,LIBRE,LIBRE,VADN020,LIBRE,VADN020,VADN020,VADN020,LIBRE,LIBRE,VADN020,VADN020,VADN020,VADN020,VADN020,LIBRE,LIBRE,VADN020,VADN020,VADN020,VADN020,VADN020,LIBRE,LIBRE,VADN020,VADN020,VADN020,VADN020,LIBRE,LIBRE
FIJ010,fijo,LIBRE,VADN021,LIBRE,LIBRE,VADN021,LIBRE,VADN021,VADN021,VADN021,LIBRE,LIBRE,VADN021,VADN021,VADN021,VADN021,VADN021,LIBRE,LIBRE,VADN021,VADN021,VADN021,VADN021,VADN021,LIBRE,LIBRE,VADN021,VADN021,VADN021,VADN021,LIBRE,LIBRE
FIJ011,fijo,LIBRE,LIBRE,LIBRE,LIBRE,VADN023,LIBRE,VADN023,VADN023,VADN023,LIBRE,LIBRE,VADN023,LIBRE,VADN023,VADN023,VADN023,LIBRE,LIBRE,LIBRE,VADN023,VADN023,VADN023,VADN023,LIBRE,LIBRE,LIBRE,LIBRE,VADN023,VADN023,VADN023,LIBRE
FIJ012,fijo,LIBRE,VADN024,LIBRE,LIBRE,VADN024,LIBRE,LIBRE,VADN024,VADN024,LIBRE,LIBRE,VADN024,VADN024,LIBRE,VADN024,VADN024,LIBRE,LIBRE,VADN024,VADN024,LIBRE,VADN024,VADN024,LIBRE,LIBRE,VADN024,VADN024,LIBRE,LIBRE,VADN024,LIBRE
FIJ013,fijo,LIBRE,VADN033,LIBRE,LIBRE,VADN033,LIBRE,VADN033,VADN033,VADN033,LIBRE,LIBRE,VADN033,VADN033,VADN033,VADN033,VADN033,LIBRE,LIBRE,VADN033,VADN033,VADN033,VADN033,VADN033,LIBRE,LIBRE,VADN033,VADN033,VADN033,VADN033,LIBRE,LIBRE
FIJ014,fijo,LIBRE,VADN035,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VADN035,VADN035,VADN035,VADN035,LIBRE,LIBRE,VADN035,VADN035,LIBRE,LIBRE,VADN035,LIBRE
FIJ015,fijo,LIBRE,VADN036,LIBRE,LIBRE,VADN036,LIBRE,VADN036,VADN036,VADN036,LIBRE,LIBRE,VADN036,VADN036,VADN036,VADN036,VADN036,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
FIJ016,fijo,LIBRE,VADN037,LIBRE,LIBRE,VADN037,LIBRE,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,LIBRE,LIBRE
FIJ017,fijo,LIBRE,VADN039,LIBRE,LIBRE,VADN039,LIBRE,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,LIBRE,LIBRE
FIJ018,fijo,LIBRE,VADP001,LIBRE,LIBRE,VADP001,LIBRE,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,LIBRE,LIBRE
